week,tokens,tokens_ma,wow_pct,growth_4w_pct,yoy_pct,effective_price,like_for_like_index,price_coverage,spend_usd,volume_index,price_index,spend_index,elasticity_rolling,elasticity_arc
2026-06-29,46719738264038.0,46173451011389.5,-0.0013054876956131167,49.23577210772658,,1.0878683880520916,95.68510578511112,0.5936668446473393,50824926.35551464,950.0955166838961,138.78843439468395,1318.6226928596627,-0.4586990309892515,-21.834167548703228
2026-07-06,52619668699308.0,48176915180499.0,12.62834650726501,36.22779431623926,,0.9053151623470915,95.68510578511112,0.6443946783694957,47637383.911164194,1070.0768706807285,115.49859835609585,1235.9237869690141,-0.38152462135992804,-5.455020092138677
2026-07-13,62773944339618.0,52208424873849.75,19.297490636697102,31.187189211091404,,0.7126642697808295,95.68510578511112,0.6978149830351502,44736747.2040563,1276.5748546058035,90.92051882214986,1160.6684809607016,-0.24689633983245646,-2.236038140647567
2026-07-20,58041497415980.0,55038712179736.0,-7.5388713795562,26.452976696251906,,0.2455757431783973,95.66495334631081,0.6082580772695233,14253583.863116315,1180.3355182533155,31.33014369694941,369.8008139748962,0.06544677003797222,-1.415712464743828
2026-07-27,56788588911921.0,57555924841706.75,-2.158642626118823,24.651555344021304,,0.3111684692777361,95.66495334631081,0.5723681330219635,17670818.284165077,1154.8562926250788,39.698354284727465,458.4589425257727,0.11295412356368732,-0.9619309262503557
2026-08-03,69046537847932.0,61662642128862.75,21.585232475177474,27.99209309653452,,0.31003474321552255,83.29676997012857,0.6288346175494653,21406825.631604455,1404.1347081424178,39.553715404753376,555.3874463580163,0.09243985841428631,-0.7471640369853919
2026-08-10,75340581084831.0,64804301315166.0,9.115653634597853,24.12613763344027,,0.6241203007988287,83.29676997012857,0.6249115491400727,47021586.12902327,1532.130764699852,79.62422694983293,1219.947277252821,0.08442814849770074,-0.771075266640741
2026-08-17,93377577206324.0,73638321262752.0,23.940611901020436,33.793685110720936,,0.16391379222444388,83.29676997012857,0.6604633230398296,15305872.788619358,1898.93224489278,20.911848205517263,397.10182857759946,0.11404691994047751,-0.7527846495705589
2026-08-24,112996824136069.0,87690380068789.0,21.010661784889706,52.35682566123223,,0.12141102182646475,83.29676997012857,0.639029857404743,13719059.881505473,2297.9104763914156,15.489415652316001,355.9329050063812,0.09148538923432847,-0.7750635761650541
2026-08-31,115463303706156.0,99294571533345.0,2.1827866304604315,61.02873329014826,,0.3033639146601051,83.29676997012857,0.6341416055367575,35027399.811888106,2348.0689590500374,38.70266222452492,908.7651980200542,0.08866755657134633,-0.778962001678034
2026-09-07,126471817043639.0,112077380523047.0,9.53420955760862,72.94744059962235,,0.2826086187577428,87.43978960166486,0.6536598907079665,35742025.52648477,2571.9387741630276,36.05473619291627,927.3057400678043,0.01584074581427338,-0.6296156736718755
